# YEAR  MONTH   DAY HOUR    MINUTE  MLON    MLAT MLT
2003.00 11.00 20.00 14.00 30.00 153.50 55.00 20.29
2003.00 11.00 20.00 19.00 34.00 153.50 55.00 1.12
2003.00 11.00 20.00 19.00 44.00 153.50 55.00 1.28
2003.00 11.00 20.00 20.00 20.00 153.50 55.00 1.85
2003.00 11.00 20.00 14.00 30.00 156.00 55.00 20.45
2003.00 11.00 20.00 18.00 15.00 156.00 55.00 0.03
2003.00 11.00 20.00 18.00 51.00 156.00 55.00 0.60
2003.00 11.00 20.00 19.00 10.00 156.00 55.00 0.90
2003.00 11.00 20.00 19.00 12.00 156.00 55.00 0.94
2003.00 11.00 20.00 19.00 14.00 156.00 55.00 0.97
2003.00 11.00 20.00 19.00 24.00 156.00 55.00 1.13
2003.00 11.00 20.00 19.00 34.00 156.00 55.00 1.29
2003.00 11.00 20.00 19.00 38.00 156.00 55.00 1.35
2003.00 11.00 20.00 13.00 28.00 158.50 55.00 19.63
2003.00 11.00 20.00 18.00 15.00 158.50 55.00 0.20
2003.00 11.00 20.00 18.00 19.00 158.50 55.00 0.26
2003.00 11.00 20.00 18.00 43.00 158.50 55.00 0.64
2003.00 11.00 20.00 18.00 51.00 158.50 55.00 0.77
2003.00 11.00 20.00 19.00 12.00 158.50 55.00 1.10
2003.00 11.00 20.00 19.00 13.00 158.50 55.00 1.12
2003.00 11.00 20.00 19.00 14.00 158.50 55.00 1.13
2003.00 11.00 20.00 19.00 24.00 158.50 55.00 1.29
2003.00 11.00 20.00 19.00 35.00 158.50 55.00 1.47
2003.00 11.00 20.00 19.00 36.00 158.50 55.00 1.48
2003.00 11.00 20.00 19.00 38.00 158.50 55.00 1.52
2003.00 11.00 20.00 12.00 58.00 161.00 55.00 19.32
2003.00 11.00 20.00 13.00 28.00 161.00 55.00 19.80
2003.00 11.00 20.00 18.00 15.00 161.00 55.00 0.36
2003.00 11.00 20.00 18.00 19.00 161.00 55.00 0.43
2003.00 11.00 20.00 18.00 51.00 161.00 55.00 0.93
2003.00 11.00 20.00 19.00 12.00 161.00 55.00 1.27
2003.00 11.00 20.00 19.00 13.00 161.00 55.00 1.28
2003.00 11.00 20.00 19.00 14.00 161.00 55.00 1.30
2003.00 11.00 20.00 19.00 18.00 161.00 55.00 1.36
2003.00 11.00 20.00 19.00 24.00 161.00 55.00 1.46
2003.00 11.00 20.00 19.00 28.00 161.00 55.00 1.52
2003.00 11.00 20.00 19.00 36.00 161.00 55.00 1.65
2003.00 11.00 20.00 12.00 51.00 163.50 55.00 19.38
2003.00 11.00 20.00 12.00 58.00 163.50 55.00 19.49
2003.00 11.00 20.00 13.00 28.00 163.50 55.00 19.97
2003.00 11.00 20.00 17.00 50.00 163.50 55.00 0.13
2003.00 11.00 20.00 18.00 15.00 163.50 55.00 0.53
2003.00 11.00 20.00 18.00 19.00 163.50 55.00 0.59
2003.00 11.00 20.00 18.00 38.00 163.50 55.00 0.89
2003.00 11.00 20.00 18.00 49.00 163.50 55.00 1.07
2003.00 11.00 20.00 19.00 10.00 163.50 55.00 1.40
2003.00 11.00 20.00 19.00 12.00 163.50 55.00 1.44
2003.00 11.00 20.00 19.00 13.00 163.50 55.00 1.45
2003.00 11.00 20.00 19.00 15.00 163.50 55.00 1.48
2003.00 11.00 20.00 19.00 18.00 163.50 55.00 1.53
2003.00 11.00 20.00 19.00 28.00 163.50 55.00 1.69
2003.00 11.00 20.00 19.00 34.00 163.50 55.00 1.79
2003.00 11.00 20.00 12.00 58.00 166.00 55.00 19.65
2003.00 11.00 20.00 13.00 28.00 166.00 55.00 20.13
2003.00 11.00 20.00 17.00 33.00 166.00 55.00 0.03
2003.00 11.00 20.00 17.00 50.00 166.00 55.00 0.30
2003.00 11.00 20.00 18.00 4.00 166.00 55.00 0.52
2003.00 11.00 20.00 18.00 10.00 166.00 55.00 0.62
2003.00 11.00 20.00 18.00 11.00 166.00 55.00 0.63
2003.00 11.00 20.00 18.00 28.00 166.00 55.00 0.90
2003.00 11.00 20.00 18.00 38.00 166.00 55.00 1.06
2003.00 11.00 20.00 18.00 43.00 166.00 55.00 1.14
2003.00 11.00 20.00 18.00 45.00 166.00 55.00 1.17
2003.00 11.00 20.00 19.00 10.00 166.00 55.00 1.57
2003.00 11.00 20.00 19.00 13.00 166.00 55.00 1.62
2003.00 11.00 20.00 19.00 18.00 166.00 55.00 1.70
2003.00 11.00 20.00 19.00 34.00 166.00 55.00 1.95
2003.00 11.00 20.00 19.00 35.00 166.00 55.00 1.97
2003.00 11.00 20.00 12.00 58.00 168.50 55.00 19.82
2003.00 11.00 20.00 13.00 28.00 168.50 55.00 20.30
2003.00 11.00 20.00 16.00 47.00 168.50 55.00 23.46
2003.00 11.00 20.00 17.00 29.00 168.50 55.00 0.13
2003.00 11.00 20.00 17.00 50.00 168.50 55.00 0.47
2003.00 11.00 20.00 17.00 53.00 168.50 55.00 0.51
2003.00 11.00 20.00 18.00 4.00 168.50 55.00 0.69
2003.00 11.00 20.00 18.00 7.00 168.50 55.00 0.74
2003.00 11.00 20.00 18.00 10.00 168.50 55.00 0.78
2003.00 11.00 20.00 18.00 11.00 168.50 55.00 0.80
2003.00 11.00 20.00 18.00 20.00 168.50 55.00 0.94
2003.00 11.00 20.00 18.00 38.00 168.50 55.00 1.23
2003.00 11.00 20.00 18.00 43.00 168.50 55.00 1.31
2003.00 11.00 20.00 18.00 45.00 168.50 55.00 1.34
2003.00 11.00 20.00 18.00 47.00 168.50 55.00 1.37
2003.00 11.00 20.00 18.00 56.00 168.50 55.00 1.51
2003.00 11.00 20.00 19.00 30.00 168.50 55.00 2.06
2003.00 11.00 20.00 19.00 34.00 168.50 55.00 2.12
2003.00 11.00 20.00 19.00 35.00 168.50 55.00 2.13
2003.00 11.00 20.00 19.00 37.00 168.50 55.00 2.17
2003.00 11.00 20.00 17.00 29.00 171.00 55.00 0.30
2003.00 11.00 20.00 17.00 40.00 171.00 55.00 0.47
2003.00 11.00 20.00 17.00 50.00 171.00 55.00 0.63
2003.00 11.00 20.00 18.00 7.00 171.00 55.00 0.90
2003.00 11.00 20.00 18.00 10.00 171.00 55.00 0.95
2003.00 11.00 20.00 18.00 11.00 171.00 55.00 0.97
2003.00 11.00 20.00 18.00 20.00 171.00 55.00 1.11
2003.00 11.00 20.00 18.00 38.00 171.00 55.00 1.39
2003.00 11.00 20.00 18.00 56.00 171.00 55.00 1.68
2003.00 11.00 20.00 19.00 34.00 171.00 55.00 2.29
2003.00 11.00 20.00 19.00 35.00 171.00 55.00 2.30
2003.00 11.00 20.00 19.00 37.00 171.00 55.00 2.33
2003.00 11.00 20.00 17.00 29.00 173.50 55.00 0.46
2003.00 11.00 20.00 17.00 40.00 173.50 55.00 0.64
2003.00 11.00 20.00 18.00 21.00 173.50 55.00 1.29
2003.00 11.00 20.00 18.00 35.00 173.50 55.00 1.51
2003.00 11.00 20.00 18.00 38.00 173.50 55.00 1.56
2003.00 11.00 20.00 19.00 25.00 173.50 55.00 2.31
2003.00 11.00 20.00 19.00 32.00 173.50 55.00 2.42
2003.00 11.00 20.00 19.00 37.00 173.50 55.00 2.50
2003.00 11.00 20.00 14.00 52.00 176.00 55.00 22.13
2003.00 11.00 20.00 16.00 34.00 176.00 55.00 23.76
2003.00 11.00 20.00 17.00 43.00 176.00 55.00 0.85
2003.00 11.00 20.00 18.00 15.00 176.00 55.00 1.36
2003.00 11.00 20.00 18.00 21.00 176.00 55.00 1.46
2003.00 11.00 20.00 18.00 38.00 176.00 55.00 1.73
2003.00 11.00 20.00 18.00 54.00 176.00 55.00 1.98
2003.00 11.00 20.00 18.00 58.00 176.00 55.00 2.05
2003.00 11.00 20.00 19.00 17.00 176.00 55.00 2.35
2003.00 11.00 20.00 19.00 25.00 176.00 55.00 2.48
2003.00 11.00 20.00 19.00 28.00 176.00 55.00 2.52
2003.00 11.00 20.00 19.00 32.00 176.00 55.00 2.59
2003.00 11.00 20.00 19.00 37.00 176.00 55.00 2.67
2003.00 11.00 20.00 19.00 40.00 176.00 55.00 2.71
2003.00 11.00 20.00 18.00 15.00 178.50 55.00 1.53
2003.00 11.00 20.00 18.00 54.00 178.50 55.00 2.15
2003.00 11.00 20.00 19.00 17.00 178.50 55.00 2.52
2003.00 11.00 20.00 19.00 25.00 178.50 55.00 2.64
2003.00 11.00 20.00 19.00 28.00 178.50 55.00 2.69
2003.00 11.00 20.00 19.00 32.00 178.50 55.00 2.75
2003.00 11.00 20.00 19.00 38.00 178.50 55.00 2.85
