# YEAR  MONTH   DAY HOUR    MINUTE  MLON    MLAT
2003.00 11.00 20.00 17.00 29.00 171.00 55.00
2003.00 11.00 20.00 17.00 40.00 171.00 55.00
2003.00 11.00 20.00 17.00 50.00 171.00 55.00
2003.00 11.00 20.00 18.00 7.00 171.00 55.00
2003.00 11.00 20.00 18.00 10.00 171.00 55.00
2003.00 11.00 20.00 18.00 11.00 171.00 55.00
2003.00 11.00 20.00 18.00 20.00 171.00 55.00
2003.00 11.00 20.00 18.00 38.00 171.00 55.00
2003.00 11.00 20.00 18.00 56.00 171.00 55.00
2003.00 11.00 20.00 19.00 34.00 171.00 55.00
2003.00 11.00 20.00 19.00 35.00 171.00 55.00
2003.00 11.00 20.00 19.00 37.00 171.00 55.00
2003.00 11.00 20.00 17.00 29.00 173.50 55.00
2003.00 11.00 20.00 17.00 40.00 173.50 55.00
2003.00 11.00 20.00 18.00 21.00 173.50 55.00
2003.00 11.00 20.00 18.00 35.00 173.50 55.00
2003.00 11.00 20.00 18.00 38.00 173.50 55.00
2003.00 11.00 20.00 19.00 25.00 173.50 55.00
2003.00 11.00 20.00 19.00 32.00 173.50 55.00
2003.00 11.00 20.00 19.00 37.00 173.50 55.00
2003.00 11.00 20.00 14.00 52.00 176.00 55.00
2003.00 11.00 20.00 16.00 34.00 176.00 55.00
2003.00 11.00 20.00 17.00 43.00 176.00 55.00
2003.00 11.00 20.00 18.00 15.00 176.00 55.00
2003.00 11.00 20.00 18.00 21.00 176.00 55.00
2003.00 11.00 20.00 18.00 38.00 176.00 55.00
2003.00 11.00 20.00 18.00 54.00 176.00 55.00
2003.00 11.00 20.00 18.00 58.00 176.00 55.00
2003.00 11.00 20.00 19.00 17.00 176.00 55.00
2003.00 11.00 20.00 19.00 25.00 176.00 55.00
2003.00 11.00 20.00 19.00 28.00 176.00 55.00
2003.00 11.00 20.00 19.00 32.00 176.00 55.00
2003.00 11.00 20.00 19.00 37.00 176.00 55.00
2003.00 11.00 20.00 19.00 40.00 176.00 55.00
2003.00 11.00 20.00 18.00 15.00 178.50 55.00
2003.00 11.00 20.00 18.00 54.00 178.50 55.00
2003.00 11.00 20.00 19.00 17.00 178.50 55.00
2003.00 11.00 20.00 19.00 25.00 178.50 55.00
2003.00 11.00 20.00 19.00 28.00 178.50 55.00
2003.00 11.00 20.00 19.00 32.00 178.50 55.00
2003.00 11.00 20.00 19.00 38.00 178.50 55.00
2003.00 11.00 20.00 19.00 40.00 178.50 55.00
2003.00 11.00 20.00 13.00 41.00 181.00 55.00
2003.00 11.00 20.00 16.00 56.00 181.00 55.00
2003.00 11.00 20.00 18.00 56.00 181.00 55.00
2003.00 11.00 20.00 19.00 23.00 181.00 55.00
2003.00 11.00 20.00 19.00 25.00 181.00 55.00
2003.00 11.00 20.00 19.00 38.00 181.00 55.00
2003.00 11.00 20.00 19.00 40.00 181.00 55.00
2003.00 11.00 20.00 13.00 41.00 183.50 55.00
2003.00 11.00 20.00 14.00 53.00 183.50 55.00
2003.00 11.00 20.00 16.00 37.00 183.50 55.00
2003.00 11.00 20.00 16.00 56.00 183.50 55.00
2003.00 11.00 20.00 17.00 20.00 183.50 55.00
2003.00 11.00 20.00 17.00 37.00 183.50 55.00
2003.00 11.00 20.00 17.00 40.00 183.50 55.00
2003.00 11.00 20.00 17.00 46.00 183.50 55.00
2003.00 11.00 20.00 18.00 14.00 183.50 55.00
2003.00 11.00 20.00 18.00 22.00 183.50 55.00
2003.00 11.00 20.00 19.00 25.00 183.50 55.00
2003.00 11.00 20.00 19.00 38.00 183.50 55.00
2003.00 11.00 20.00 13.00 41.00 186.00 55.00
2003.00 11.00 20.00 16.00 37.00 186.00 55.00
2003.00 11.00 20.00 17.00 20.00 186.00 55.00
2003.00 11.00 20.00 17.00 37.00 186.00 55.00
2003.00 11.00 20.00 17.00 40.00 186.00 55.00
2003.00 11.00 20.00 18.00 22.00 186.00 55.00
2003.00 11.00 20.00 16.00 26.00 188.50 55.00
2003.00 11.00 20.00 16.00 37.00 188.50 55.00
2003.00 11.00 20.00 17.00 28.00 188.50 55.00
2003.00 11.00 20.00 17.00 40.00 188.50 55.00
2003.00 11.00 20.00 16.00 26.00 191.00 55.00
2003.00 11.00 20.00 16.00 37.00 191.00 55.00
2003.00 11.00 20.00 17.00 28.00 191.00 55.00
2003.00 11.00 20.00 16.00 38.00 193.50 55.00
2003.00 11.00 20.00 13.00 11.00 198.50 55.00
2003.00 11.00 20.00 13.00 11.00 201.00 55.00
2003.00 11.00 20.00 13.00 11.00 203.50 55.00
2003.00 11.00 20.00 11.00 41.00 208.50 55.00
2003.00 11.00 20.00 11.00 41.00 211.00 55.00
2003.00 11.00 20.00 12.00 43.00 228.50 55.00
